"","raw_average_score","raw_standard_deviation","scaled_average_score","enquete_response"
"第70回東京エリアDebian勉強会.2010年11月勉強会.BtrFSを使ってみる.b8af",NA,NA,NA,0
"第70回東京エリアDebian勉強会.2010年11月勉強会.CEPHを使ってみる.b8af",NA,NA,NA,0
"第70回東京エリアDebian勉強会.2010年11月勉強会.Ext4を使ってみる.b8af",NA,NA,NA,0
"第70回東京エリアDebian勉強会.2010年11月勉強会.MiniDebconf計画.b8af",NA,NA,NA,0
"第70回東京エリアDebian勉強会.2010年11月勉強会.NILFSを使ってみる.b8af",NA,NA,NA,0
"第70回東京エリアDebian勉強会.2010年11月勉強会.事前課題紹介.b8af",NA,NA,NA,0
"第71回東京エリアDebian勉強会.2010年12月勉強会.2010年のDebianを振り返って.2011年を企画する.2eca",4,0.816496580927726,0.285932976897187,4
"第71回東京エリアDebian勉強会.2010年12月勉強会.CACertの準備に何が必要か.2eca",4.6,0.547722557505166,0.768092705584907,5
"第71回東京エリアDebian勉強会.2010年12月勉強会.Debian.Miniconf.企画.2eca",2.33333333333333,1.211060141639,-1.63102774417004,6
"第71回東京エリアDebian勉強会.2010年12月勉強会.事前課題紹介.2eca",3.5,0.577350269189626,-0.328848782452919,4
"第71回東京エリアDebian勉強会.2010年12月勉強会.俺のlibsaneが火をふくぜ.2eca",4.66666666666667,0.577350269189626,0.924248791393733,3
"第72回東京エリアDebian勉強会.2011年1月勉強会.CACert.Assure...GPG.keysigning.f456",3.75,0.462910049886276,-0.280015998125093,8
"第72回東京エリアDebian勉強会.2011年1月勉強会.Debian勉強会アンケートシステム.f456",4,0,0.0407822091113403,8
"第72回東京エリアDebian勉強会.2011年1月勉強会.Kinect.f456",4.875,0.353553390593274,1.35485585833327,8
"第72回東京エリアDebian勉強会.2011年1月勉強会.事前課題紹介.f456",3.66666666666667,0.516397779494322,-0.360319896232299,6
"第77回東京エリアDebian勉強会.2011年6月勉強会.Debian.JP.定例会議処理系にXSLTを使ってみた.8b79",4,0,0.225750206033889,8
"第77回東京エリアDebian勉強会.2011年6月勉強会.Debian.で.sphinx.と.doxygen.を使う.8b79",4.11111111111111,1.05409255338946,0.436206945042377,9
"第77回東京エリアDebian勉強会.2011年6月勉強会.クイズ.8b79",3.66666666666667,0.516397779494322,-0.206421305866111,6
"第77回東京エリアDebian勉強会.2011年6月勉強会.事前課題紹介.8b79",3.5,0.534522483824849,-0.492874855486757,8
"第77回東京エリアDebian勉強会.2011年6月勉強会.最近のイベント紹介.8b79",3.57142857142857,0.534522483824849,-0.250330588785243,7
"第79回東京エリアDebian勉強会.2011年8月勉強会.Debconf11レポート.5dff",4,0,-0.347101422105791,2
"第79回東京エリアDebian勉強会.2011年8月勉強会.Debianパッケージのビルド方法.5dff",5,0,1.27240226919466,2
"第79回東京エリアDebian勉強会.2011年8月勉強会.クイズ.5dff",4,0,-0.347101422105791,2
"第79回東京エリアDebian勉強会.2011年8月勉強会.スポンサーアップロード入門.5dff",4.5,0.707106781186548,0.601581875944723,2
"第79回東京エリアDebian勉強会.2011年8月勉強会.事前課題紹介.5dff",4,0,-0.347101422105791,2
"第81回東京エリアDebian勉強会.2011年10月勉強会.DPN.trivia.quiz.dd42",4,0.816496580927726,0.0529256124024963,4
"第81回東京エリアDebian勉強会.2011年10月勉強会.Debian.で快適な.LaTeX.作業環境.dd42",4,1,0.135138002062081,5
"第81回東京エリアDebian勉強会.2011年10月勉強会.Debianとは何なのか..dd42",4.2,0.836660026534076,0.360627127246514,5
"第81回東京エリアDebian勉強会.2011年10月勉強会.HaskellとDebianの辛くて甘い関係.dd42",3.4,0.547722557505166,-1.31589102306357,5
"第81回東京エリアDebian勉強会.2011年10月勉強会.レポートの自動生成.dd42",4,1,0.135138002062081,5
"第81回東京エリアDebian勉強会.2011年10月勉強会.事前課題紹介.dd42",4,0.816496580927726,0.0529256124024963,4
"第81回東京エリアDebian勉強会.2011年10月勉強会.月刊.Debhelper.dd42",4.5,1,1.02655183172334,4
"第83回東京エリアDebian勉強会.2011年12月勉強会.2011年の振り返り.b794",3.83333333333333,0.752772652709081,-0.245823282031616,6
"第83回東京エリアDebian勉強会.2011年12月勉強会.DWN.trivia.quiz.b794",3.4,0.547722557505166,-1.00181675603493,5
"第83回東京エリアDebian勉強会.2011年12月勉強会.quiltでportingしてみた.b794",4.33333333333333,0.516397779494322,0.467767119701869,6
"第83回東京エリアDebian勉強会.2011年12月勉強会.事前課題発表.b794",3.33333333333333,0.516397779494322,-0.94900902773602,6
"第83回東京エリアDebian勉強会.2011年12月勉強会.月刊Debhelper第2回.b794",4,0.816496580927726,0.11201851837452,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.Debianでtwitter連携.f447",4.25,0.5,0.762233255333365,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.Debianクイズ.f447",3.5,1,-0.302326632473911,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.Debian使えるVPSを使ってみた.f447",3.5,0.577350269189626,-0.214266853102811,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.Debian勉強会予約システムの脆弱性.f447",3.5,0.577350269189626,-0.0655541314518522,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.事前課題紹介.2012年企画.f447",2.5,0.577350269189626,-1.2894046571419,4
"第84回東京エリアDebian勉強会.2012年1月勉強会.第3回月刊Debhelper.dh_auto_..dh_build.f447",2.5,1.29099444873581,-1.19902123342331,4
"第87回東京エリアDebian勉強会.2012年4月勉強会.Debian.Weekly.news.quiz.7efe",4,0.816496580927726,-0.239703445270578,4
"第87回東京エリアDebian勉強会.2012年4月勉強会.Debian.での.node.js.入門..7efe",4.4,0.547722557505166,0.478077628228709,5
"第87回東京エリアDebian勉強会.2012年4月勉強会.androidでdebian.7efe",4.4,0.547722557505166,0.478077628228709,5
"第87回東京エリアDebian勉強会.2012年4月勉強会.月刊Debhelper.7efe",3.8,0.836660026534076,-0.472114327746365,5
"第88回東京エリアDebian勉強会.2012年5月勉強会.Python初心者が.Pythonプロフェッショナルプログラミング.を読んでみた.aa7f",3.33333333333333,1.15470053837925,-1.13264948554989,3
"第88回東京エリアDebian勉強会.2012年5月勉強会.coffeescriptを使ってみた.aa7f",3.66666666666667,0.577350269189626,-0.685435890049934,3
"第88回東京エリアDebian勉強会.2012年5月勉強会.事前課題紹介.書籍紹介とプログラミング言語紹介..aa7f",4,0,-0.238222294549976,3
"第90回東京エリアDebian勉強会.2012年7月勉強会.MacBookAirにDebianインストール.4d5d",4,0,0.138692544651545,2
"第90回東京エリアDebian勉強会.2012年7月勉強会.事前課題紹介.Debconfビデオ感想..4d5d",3,0,-1.15231473329368,2
"第91回東京エリアDebian勉強会.2012年8月勉強会.Debconf2012報告.9796",4.33333333333333,0.577350269189626,0.421727310395802,3
"第91回東京エリアDebian勉強会.2012年8月勉強会.DebianでC..11を使う.9796",4.66666666666667,0.577350269189626,0.86894090589576,3
"第91回東京エリアDebian勉強会.2012年8月勉強会.Debianで簡単に貢献できそうなもの.9796",4,1,0.0919267540573111,3
"第91回東京エリアDebian勉強会.2012年8月勉強会.事前課題紹介.Debian.19周年に思う..9796",4.5,0.707106781186548,0.55805536634371,2
"第91回東京エリアDebian勉強会.2012年8月勉強会.月刊.Debhelper.共有ライブラリ編.9796",5,0,1.19874146223425,3
"第93回東京エリアDebian勉強会.2012年10月勉強会.Debian.quiz.9146",4,NA,NA,1
"第93回東京エリアDebian勉強会.2012年10月勉強会.DebianのHaskellパッケージングについて語る.9146",4.5,0.707106781186548,0.316227766016837,2
"第93回東京エリアDebian勉強会.2012年10月勉強会.x86.input.mtrack.9146",4.5,0.707106781186548,0.316227766016837,2
"第93回東京エリアDebian勉強会.2012年10月勉強会.レゴでなめこ収穫期.9146",4.5,0.707106781186548,0.316227766016837,2
"第93回東京エリアDebian勉強会.2012年10月勉強会.事前課題紹介.9146",4,NA,NA,1
"第94回東京エリアDebian勉強会.2012年11月勉強会.Debian.Quiz.8ef7",3.25,0.5,-0.693609776578125,4
"第94回東京エリアDebian勉強会.2012年11月勉強会.bluetooth.tethering..8ef7",4.25,0.5,0.660860135819182,4
"第94回東京エリアDebian勉強会.2012年11月勉強会.linux.perf.8ef7",4.25,0.957427107756338,0.607758284533475,4
"第94回東京エリアDebian勉強会.2012年11月勉強会.systemd.8ef7",4.5,0.577350269189626,1.06419374912111,4
"第94回東京エリアDebian勉強会.2012年11月勉強会.事前課題紹介..Debian.で今いまいちサポートされていない機能.いけてない実装について語ってください...8ef7",3.75,0.957427107756338,-0.110849162699289,4
"第95回東京エリアDebian勉強会.2012年12月勉強会.2012年のDebian勉強会をふりかえって.3f15",3.75,0.957427107756338,-0.549279476025824,4
"第95回東京エリアDebian勉強会.2012年12月勉強会.im.config..3f15",4.25,0.5,0.286130720599144,4
"第95回東京エリアDebian勉強会.2012年12月勉強会.事前課題紹介.3f15",4.25,0.5,0.128735536919532,4
"第95回東京エリアDebian勉強会.2012年12月勉強会.著作権法改正.3f15",4.75,0.5,1.41211033226621,4
