"date","days","kWh","kWh/d","yen/d","yen","days","m^3","m^3/d","yen/d","yen","days","m^3","m^3/d","yen/d","yen","yen/d","yen"
2001/04,11,34,3.09,83.5,918,36,4.9,0.14,108.3,3900,58,9,0.16,22.8,1320,,
2001/05,33,95,2.88,73.8,2434,29,3.5,0.12,114.1,3310,,,,,,,
2001/06,30,129,4.3,102.7,3082,32,3,0.09,96.9,3100,61,3,0.05,15.7,960,,
2001/07,28,155,5.54,131.3,3676,28,1.7,0.06,91.1,2550,,,,,,,
2001/08,34,212,6.24,146.9,4995,35,2.2,0.06,78.9,2760,60,6,0.1,19,1140,,
2001/09,29,156,5.38,127.6,3699,28,2.3,0.08,91.1,2550,,,,,,,
2001/10,30,126,4.2,100.6,3018,31,2.3,0.07,90.6,2810,63,6,0.1,18.1,1140,,
2001/11,32,155,4.84,115.4,3692,29,4.7,0.16,131.4,3810,,,,,,,
2001/12,29,167,5.76,136.9,3971,32,4.3,0.13,114.1,3650,63,7,0.11,19,1200,,
2002/01,34,217,6.38,150.8,5127,29,5.6,0.19,144.1,4180,,,,,,,
2002/02,29,136,4.69,111.9,3246,29,4.8,0.17,133.1,3860,58,6,0.1,19.7,1140,,
2002/03,28,139,4.96,118.4,3315,33,4.9,0.15,118.2,3900,,,,,,,
2002/04,29,127,4.38,101.2,2935,29,4.1,0.14,122.8,3560,62,9,0.15,21.3,1320,,
2002/05,33,163,4.94,111,3662,31,4.9,0.16,125.8,3900,,,,,,,
2002/06,29,156,5.38,121,3510,29,4,0.14,121.4,3520,61,11,0.18,23.6,1440,,
2002/07,29,243,8.38,186.2,5399,30,4.3,0.14,121.7,3650,,,,,,,
2002/08,34,363,10.68,238.8,8119,32,4.3,0.13,114.1,3650,60,12,0.2,25,1500,,
2002/09,29,217,7.48,166.7,4834,28,4.1,0.15,127.1,3560,,,,,,,
2002/10,32,184,5.75,128.7,4118,32,6.1,0.19,136.6,4370,62,11,0.18,23.2,1440,,
2002/11,31,169,5.45,122.3,3792,29,5.8,0.2,146.9,4260,,,,,,,
2002/12,27,143,5.3,119.6,3228,34,8.3,0.24,154.1,5240,62,10,0.16,22.3,1380,,
2003/01,35,214,6.11,136.3,4769,27,6,0.22,160.7,4340,,,,,,,
2003/02,29,166,5.72,128.5,3727,31,5.8,0.19,137.4,4260,58,8,0.14,21.7,1260,,
2003/03,27,160,5.93,133.2,3597,31,6.1,0.2,148,4589,,,,,,,
2003/04,30,182,6.07,136.8,4105,30,4.9,0.16,136.4,4093,62,10,0.16,22.3,1380,,
2003/05,33,201,6.09,137,4521,31,5.9,0.19,145.5,4511,,,,,,,
