"年","月","降水量合計(mm)","平均日平均気温(℃)","平均日最高気温(℃)","平均日最低気温(℃)","平均風速(m/s)","最大風速(m/s)","日照時間(h)","電気使用量(kWh)","電気使用量(kWh)/日","料金(円)/日","合計料金","ガス使用量(m3)","ガス使用量(m3)/日","料金(円)/日","合計料金"
2007,1,50,6,10.8,1.1,1,5,188.9,234,6.88235294117647,161.235294117647,5482,9,0.257142857142857,70.1714285714286,2456
2007,2,44,7.3,12.6,1.9,1.3,6,198.1,198,7.07142857142857,168.071428571429,4706,9,0.333333333333333,80.962962962963,2186
2007,3,67,9.9,15.2,4.6,1.9,9,206.9,209,7.20689655172414,170.448275862069,4943,9,0.321428571428571,87.7142857142857,2456
2007,4,126,12.9,17.8,8.2,2,8,155.9,193,6.89285714285714,163.214285714286,4570,9,0.3,77.5666666666667,2327
2007,5,99,18.8,24.4,13.5,2.1,8,215.7,237,6.97058823529412,162.117647058824,5512,9,0.264705882352941,76.3823529411765,2597
2007,6,64,22.5,27.5,18.5,2,8,153.3,196,6.75862068965517,159.827586206897,4635,9,0.321428571428571,68.5714285714286,1920
2007,7,321,23.8,27.7,20.8,1.4,6,66.1,202,6.96551724137931,163.551724137931,4743,9,0.310344827586207,56.6896551724138,1644
2007,8,35,28.3,33.1,24.3,2,7,231.9,363,11,250.060606060606,8252,10,0.3125,63.96875,2047
2007,9,268,24.3,28.2,21,1.9,10,133.8,250,8.06451612903226,185.967741935484,5765,8,0.258064516129032,57.3870967741936,1779
2007,10,140,17.7,22,13.7,1.1,6,145.7,176,6.28571428571429,151.178571428571,4233,9,0.321428571428571,68.6785714285714,1923
2007,11,40,11.6,16.3,7.5,0.9,4,154.2,229,6.93939393939394,162.878787878788,5375,11,0.333333333333333,66.4848484848485,2194
2007,12,82,7,12.3,2,0.9,6,170.9,210,7.24137931034483,171.241379310345,4966,11,0.366666666666667,95.7333333333333,2872
2008,1,17,4.5,9.3,0,1.3,5,166.4,270,7.94117647058824,186.470588235294,6340,27,0.794117647058823,125.323529411765,4261
2008,2,42,4.2,9.5,-0.9,1.5,8,207.2,219,7.55172413793104,180.172413793103,5225,44,1.57142857142857,220.928571428571,6186
2008,3,98.5,10,15.1,5.1,1.8,6.3,174,203,7.25,174.142857142857,4876,19,0.655172413793103,114.448275862069,3319
2008,4,249.5,14.1,19.1,9.6,2.1,9.4,152.9,187,6.44827586206897,159.551724137931,4627,15,0.517241379310345,97.8620689655172,2838
2008,5,302,17.7,22.3,13.8,2,9.8,131.3,232,6.82352941176471,165.735294117647,5635,15,0.441176470588235,82.8529411764706,2817
2008,6,214,20.7,24.9,17.2,1.9,6.3,107.4,187,6.67857142857143,165.25,4627,11,0.392857142857143,80.2857142857143,2248
2008,7,78,26.6,31.7,23,2,6.5,149.5,238,7.93333333333333,196.033333333333,5881,8,0.275862068965517,64.3103448275862,1865
2008,8,424,26.2,31,22.9,1.7,5.6,145.5,253,7.66666666666667,188.606060606061,6224,7,0.21875,53.71875,1719
2008,9,280.5,23.4,27.7,19.9,1.5,5.7,130.3,206,6.86666666666667,171.633333333333,5149,7,0.233333333333333,57.3,1719
2008,10,133.5,18,22.6,13.9,1.2,4.2,144.6,207,6.67741935483871,166.838709677419,5172,13,0.40625,82.34375,2635
2008,11,77.5,11.6,16.2,7.2,1.2,5.5,151.1,197,6.56666666666667,164.8,4944,22,0.6875,123.0625,3938
2008,12,77.5,7.9,13.6,2,1.4,9.6,202.8,187,6.67857142857143,168.392857142857,4715,27,1,167.777777777778,4530
2009,1,164.5,5.3,10.2,0.3,1.4,5.2,167.7,236,7.15151515151515,186.909090909091,6168,44,1.25714285714286,197.828571428571,6924
2009,2,43.5,6.7,11.5,1.7,1.7,8.1,140,219,7.3,191.833333333333,5755,34,1.21428571428571,201.071428571429,5630
2009,3,93,8.9,13.9,3.9,2.1,10,163.3,201,7.17857142857143,189.928571428571,5318,43,1.53571428571429,242.642857142857,6794
2009,4,147,14.7,20.5,9.4,2,6.5,224.7,194,6.46666666666667,168.4,5052,44,1.375,218.03125,6977
2009,5,204,19.2,23.9,14.9,2.1,8.9,159.3,218,6.60606060606061,156.545454545455,5166,29,0.878787878787879,146.454545454545,4833
2009,6,160.5,21.9,26.2,18.4,1.9,7.6,101.2,197,7.03571428571429,164.25,4599,21,0.807692307692308,142,3692
2009,7,95.5,25.5,29.2,22.3,2.3,8.4,90.3,256,7.75757575757576,174.151515151515,5747,25,0.78125,127.46875,4079
2009,8,148,26.1,30.6,22.6,1.8,6.2,133.5,298,9.93333333333333,218.5,6555,13,0.419354838709677,79.4838709677419,2464
2009,9,22.5,22.3,26.7,18.3,1.5,4.8,139.6,241,7.3030303030303,161.515151515152,5330,15,0.517241379310345,92.4827586206897,2682
2009,10,298.5,17.4,22.2,13.2,1.4,11.5,159.2,198,6.82758620689655,154.137931034483,4470,18,0.5625,95.4375,3054
2009,11,121.5,11.9,16.5,7.4,1.3,7,129.6,204,6.8,154.133333333333,4624,21,0.67741935483871,110.741935483871,3433
2009,12,67.5,7.6,12.4,3,1.4,5.6,185.5,208,7.42857142857143,169.5,4746,28,1,149.535714285714,4187
2010,1,8.5,5,11.2,-1.3,1.4,5.7,232.7,256,7.52941176470588,169.323529411765,5757,40,1.14285714285714,157.485714285714,5512
2010,2,103.5,5.4,9.9,0.8,1.6,7.6,120.7,214,7.64285714285714,175.75,4921,37,1.37037037037037,194.481481481482,5251
2010,3,?,?,?,?,?,?,?,?,?,?,?,39,1.39285714285714,197.678571428571,5535
